"","behavior","model","effect","Estimate","Est.Error","l-90% CI","u-90% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","grooming","interaction","Intercept",-2.74720850212774,0.191069354139133,-3.05973517505686,-2.43347318699011,1.00219000873745,3023.97673570205,4010.77245313547
"2","grooming","interaction","injuredTRUE",-1.31326322908162,0.451548149990297,-2.05001770231652,-0.578002581210631,1.00110305698557,4291.42048200679,5158.55839531896
"3","grooming","interaction","periodpostMtreatment",-0.75176435233965,0.0755932425976581,-0.875696729339708,-0.628468804377079,1.00036332726139,11533.7923117985,10738.3044413667
"4","grooming","interaction","injuredTRUE:periodpostMtreatment",1.90323964689552,0.190382517832926,1.59456590208867,2.22010696823705,0.999973219553584,10111.1408536681,9996.04519099652
"5","grooming","pre-treatment","Intercept",-2.8966327851156,0.288302830199552,-3.3725686869377,-2.4372983704617,1.0011520020188,2411.47610716199,3843.93297814479
"6","grooming","pre-treatment","injuredTRUE",-1.28464723465805,0.729209521045743,-2.47644824662468,-0.0953977356101438,1.00020354573566,4133.9910670674,5366.47132117848
"7","grooming","post-treatment","Intercept",-3.54835433452777,0.177371810159997,-3.83747565723344,-3.26623373759047,1.00110386063605,3475.12482963319,5551.2971791026
"8","grooming","post-treatment","injuredTRUE",0.671915789551068,0.365130354269779,0.0797290785224987,1.26844047392985,1.00116611144377,3729.33691658285,5659.69822020817
"9","self-grooming","interaction","Intercept",-0.335046290074506,0.113203217619871,-0.520021296260186,-0.150280915274206,1.00084611253344,2567.25829546715,4085.54114243517
"10","self-grooming","interaction","injuredTRUE",0.485335885199914,0.263056512141087,0.0550999869973699,0.914483785557987,1.00044658620863,3856.53934655087,5699.16489781903
"11","self-grooming","interaction","periodpostMtreatment",-1.16910248383042,0.0345793514471346,-1.22631930672015,-1.11231373292895,1.00011904356364,9782.01064499313,9799.71721465892
"12","self-grooming","interaction","injuredTRUE:periodpostMtreatment",0.28389163520932,0.0698698187891906,0.169518518758948,0.397912172193029,1.0002616528997,9885.46092761329,9510.00585280462
"13","self-grooming","pre-treatment","Intercept",-0.341383382494387,0.175106996668441,-0.629406787204519,-0.0558115821917056,1.00123715740561,1808.13491174453,3009.35658312942
"14","self-grooming","pre-treatment","injuredTRUE",0.544187421855537,0.425965103149617,-0.157175883140883,1.23103894972544,1.00207971745588,2609.93609834129,4048.70021793347
"15","self-grooming","post-treatment","Intercept",-1.55044332236676,0.130188148211789,-1.76107677410572,-1.33795762219587,1.00203591603237,3157.80915533364,4509.96172851789
"16","self-grooming","post-treatment","injuredTRUE",0.843745961416374,0.282800698280815,0.38328725746659,1.30568584095701,1.00073144535023,4115.53069585214,5344.54640123265
"17","moving","interaction","injuredFALSE",-1.08267729822831,0.13972292680079,-1.31126427414157,-0.861418482654906,1.00227017967663,2204.26658435221,3660.82581719693
"18","moving","interaction","injuredTRUE",-2.02646423841377,0.286316013477883,-2.49864421448036,-1.56385105776097,1.00136419758991,3852.84308078984,5374.88311400925
"19","moving","interaction","periodpostMtreatment",0.0398043085347269,0.0341986092679561,-0.0168460821503623,0.0968114666822555,1.00066165293278,8477.60658218961,10147.7204260778
"20","moving","interaction","injuredTRUE:periodpostMtreatment",0.199440585159768,0.0918093534623587,0.0474053943593354,0.351130224470546,1.00048263501391,8085.37165497169,9256.66643810931
"21","moving","pre-treatment","injuredFALSE",-1.15031920580959,0.127214865280654,-1.36084183087573,-0.941974581786573,1.002526180607,1851.64256775302,3386.54759258075
"22","moving","pre-treatment","injuredTRUE",-2.02239730145672,0.294330278987572,-2.50347743874448,-1.54584651162535,1.00170287171419,2989.71249489797,4846.90836207457
"23","moving","post-treatment","Intercept",-1.10710509719449,0.235036035791799,-1.49605611796433,-0.710004508135764,1.00131065801665,1726.60806363878,2965.0599192533
"24","moving","post-treatment","injuredTRUE",-0.718272989422055,0.522391811137317,-1.56776345659604,0.127482115427519,1.00214750501998,2852.57261800438,4126.47192133036
